"","rules","support","confidence","orderedConf","orderedSupp"
"1","{peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}",0.109090909361839,1,1,36
"2","{pulse=[44;Inf],capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}",0.103030301630497,1,1,16
"3","{surgery=yes,pulse=[60;Inf],peripheral_pulse=normal} => {surgical_lesion=yes}",0.100000001490116,1,1,24
"4","{surgery=no,pain=alert no pain,outcome=lived} => {surgical_lesion=no}",0.0969696938991547,1,1,32
"5","{surgery=no,rectal_examination=normal,outcome=lived} => {surgical_lesion=no}",0.0878787860274315,1,1,17
"6","{surgery=yes,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}",0.0878787860274315,1,NA,0
"7","{Age=adult,rectal_examination=absent,outcome=died} => {surgical_lesion=yes}",0.0848484858870506,1,1,11
"8","{nasogastric_tube=slight,outcome=died} => {surgical_lesion=yes}",0.0787878781557083,1,1,1
"9","{Age=adult,abdominal_distension=moderate,outcome=died} => {surgical_lesion=yes}",0.0757575780153275,1,NA,0
"10","{surgery=yes,nasogastric_tube=slight,rectal_examination=absent} => {surgical_lesion=yes}",0.0757575780153275,1,1,10
"11","{surgery=yes,nasogastric_tube=slight,abdomen=distended large intestine} => {surgical_lesion=yes}",0.0757575780153275,1,1,11
"12","{surgery=yes,rectal_examination=absent,abdomen=distended small intestine} => {surgical_lesion=yes}",0.072727270424366,1,1,4
"13","{pulse=[55;Inf],peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}",0.072727270424366,1,1,5
"14","{surgery=yes,nasogastric_reflux=>1l} => {surgical_lesion=yes}",0.0696969702839851,1,1,7
"15","{surgery=yes,mucous_membranes=pale pink,outcome=lived} => {surgical_lesion=yes}",0.0696969702839851,1,1,8
"16","{mucous_membranes=pale pink,peristalsis=absent} => {surgical_lesion=yes}",0.0666666701436043,1,1,2
"17","{surgery=yes,peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}",0.0636363625526428,1,1,2
"18","{abdominal_distension=moderate,nasogastric_tube=slight,nasogastric_reflux=none} => {surgical_lesion=yes}",0.0636363625526428,1,1,3
"19","{temp_extremities=cool,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}",0.0636363625526428,1,1,1
"20","{surgery=yes,temp_extremities=cool,pain=continuous severe pain} => {surgical_lesion=yes}",0.060606062412262,1,1,3
"21","{surgery=yes,abdomen=distended small intestine,outcome=lived} => {surgical_lesion=yes}",0.060606062412262,1,1,1
"22","{temp_extremities=cool,abdominal_distension=moderate,nasogastric_tube=slight} => {surgical_lesion=yes}",0.060606062412262,1,1,1
"23","{temp_extremities=cool,capillary_refill_time=<3,peristalsis=absent} => {surgical_lesion=yes}",0.060606062412262,1,1,2
"24","{peristalsis=absent,abdomen=distended small intestine} => {surgical_lesion=yes}",0.0575757585465908,1,1,1
"25","{surgery=no,peristalsis=hypermotile,abdominal_distension=none} => {surgical_lesion=no}",0.0575757585465908,1,1,4
"26","{surgery=yes,nasogastric_reflux=none,rectal_examination=decreased} => {surgical_lesion=yes}",0.0545454546809196,1,1,2
"27","{surgery=no,pulse=[-Inf;56],abdominal_distension=slight} => {surgical_lesion=no}",0.0545454546809196,1,1,6
"28","{surgery=no,mucous_membranes=normal pink,peristalsis=hypermotile} => {surgical_lesion=no}",0.0515151508152485,1,1,1
"29","{Age=adult,abdomen=distended large intestine,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}",0.0515151508152485,1,1,2
"30","{surgery=yes,pulse=[-Inf;70],outcome=died} => {surgical_lesion=yes}",0.0515151508152485,1,1,3
"31","{surgery=yes,peripheral_pulse=reduced,abdominal_distension=severe} => {surgical_lesion=yes}",0.0484848469495773,1,1,4
"32","{surgery=yes,mucous_membranes=,outcome=lived} => {surgical_lesion=yes}",0.0484848469495773,1,1,13
"33","{peripheral_pulse=reduced,peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}",0.0484848469495773,1,1,1
"34","{surgery=no,pulse=[-Inf;82],abdomen=other} => {surgical_lesion=no}",0.0484848469495773,1,1,3
"35","{Age=adult,abdomen=normal,abdominocentesis_appearance=,outcome=lived} => {surgical_lesion=no}",0.0484848469495773,1,1,4
"36","{capillary_refill_time=<3,rectal_examination=absent,abdomen=distended small intestine} => {surgical_lesion=yes}",0.0454545468091965,1,1,1
"37","{temp_extremities=cool,abdomen=,outcome=died} => {surgical_lesion=yes}",0.0454545468091965,1,1,1
"38","{surgery=yes,peristalsis=hypomotile,abdominal_distension=none} => {surgical_lesion=yes}",0.0454545468091965,1,1,3
"39","{surgery=yes,mucous_membranes=dark cyanotic} => {surgical_lesion=yes}",0.0424242429435253,1,1,1
"40","{nasogastric_tube=none,abdomen=distended small intestine} => {surgical_lesion=yes}",0.0424242429435253,1,1,1
"41","{surgery=no,peripheral_pulse=normal,abdomen=other} => {surgical_lesion=no}",0.0424242429435253,1,NA,0
"42","{surgery=no,mucous_membranes=normal pink,rectal_examination=decreased} => {surgical_lesion=no}",0.0424242429435253,1,1,2
"43","{surgery=yes,temp_extremities=normal,abdomen=distended large intestine} => {surgical_lesion=yes}",0.0424242429435253,1,1,1
"44","{mucous_membranes=pale pink,pain=intermittent severe pain} => {surgical_lesion=yes}",0.0393939390778542,1,1,3
"45","{surgery=yes,peripheral_pulse=reduced,abdominocentesis_appearance=cloudy} => {surgical_lesion=yes}",0.0393939390778542,1,1,1
"46","{surgery=yes,peripheral_pulse=reduced,rectal_examination=decreased} => {surgical_lesion=yes}",0.0393939390778542,1,1,1
"47","{surgery=yes,peripheral_pulse=,nasogastric_tube=slight} => {surgical_lesion=yes}",0.0393939390778542,1,1,1
"48","{surgery=no,temp_extremities=warm,peripheral_pulse=normal,outcome=lived} => {surgical_lesion=no}",0.0393939390778542,1,1,1
"49","{temp_extremities=cold,outcome=died} => {surgical_lesion=yes}",0.036363635212183,1,1,1
"50","{abdominal_distension=severe,outcome=lived} => {surgical_lesion=yes}",0.036363635212183,1,1,1
"51","{surgery=no,mucous_membranes=normal pink,abdominocentesis_appearance=clear} => {surgical_lesion=no}",0.036363635212183,1,1,2
"52","{surgery=no,temp_extremities=normal,peristalsis=hypermotile} => {surgical_lesion=no}",0.036363635212183,1,1,1
"53","{surgery=yes,pain=intermittent mild pain,rectal_examination=decreased} => {surgical_lesion=yes}",0.036363635212183,1,1,1
"54","{surgery=yes,Age=adult,pulse=[44;Inf],nasogastric_tube=significant} => {surgical_lesion=yes}",0.036363635212183,1,1,1
"55","{surgery=yes,Age=young,nasogastric_reflux=,abdomen=} => {surgical_lesion=yes}",0.036363635212183,1,1,2
"56","{temp_extremities=cold,rectal_examination=absent} => {surgical_lesion=yes}",0.0333333350718021,1,1,1
"57","{pulse=[60;Inf],pain=intermittent severe pain,rectal_examination=} => {surgical_lesion=yes}",0.0333333350718021,1,1,1
"58","{surgery=yes,mucous_membranes=bright pink,capillary_refill_time=<3,peristalsis=hypomotile} => {surgical_lesion=yes}",0.0333333350718021,1,1,1
"59","{peripheral_pulse=normal,pain=alert no pain,abdomen=} => {surgical_lesion=no}",0.030303031206131,1,1,1
"60","{surgery=no,abdominocentesis_appearance=cloudy,outcome=lived} => {surgical_lesion=no}",0.030303031206131,1,1,3
"61","{surgery=no,abdominal_distension=slight,rectal_examination=decreased} => {surgical_lesion=no}",0.030303031206131,1,1,2
"62","{surgery=no,abdominal_distension=slight,nasogastric_reflux=} => {surgical_lesion=no}",0.030303031206131,1,1,2
"63","{surgery=yes,mucous_membranes=bright pink,pain=depressed} => {surgical_lesion=yes}",0.0272727273404598,1,1,1
"64","{surgery=yes,nasogastric_tube=,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}",0.0272727273404598,1,1,1
"65","{temp_extremities=cool,peripheral_pulse=reduced,pain=intermittent mild pain} => {surgical_lesion=yes}",0.0272727273404598,1,1,1
"66","{mucous_membranes=pale pink,abdominal_distension=none,nasogastric_tube=} => {surgical_lesion=no}",0.0242424234747887,1,1,1
"67","{peristalsis=normal,abdomen=normal} => {surgical_lesion=no}",0.0212121214717627,1,1,2
"68","{abdominal_distension=slight,abdomen=other} => {surgical_lesion=no}",0.0212121214717627,1,1,1
"69","{Age=young,capillary_refill_time=} => {surgical_lesion=yes}",0.0212121214717627,1,1,1
"70","{surgery=no,nasogastric_reflux=none,abdomen=firm feces in large intestine} => {surgical_lesion=no}",0.0212121214717627,1,1,1
"71","{mucous_membranes=normal pink,abdominal_distension=slight,rectal_examination=normal} => {surgical_lesion=no}",0.0212121214717627,1,1,1
"72","{surgery=no,Age=adult,capillary_refill_time=,outcome=lived} => {surgical_lesion=no}",0.0212121214717627,1,1,3
"73","{surgery=no,mucous_membranes=bright pink,abdominal_distension=none,outcome=lived} => {surgical_lesion=no}",0.0212121214717627,1,1,1
"74","{surgery=no,peristalsis=hypermotile,abdominocentesis_appearance=cloudy} => {surgical_lesion=no}",0.0181818176060915,1,1,1
"75","{surgery=yes,peristalsis=hypermotile,abdominocentesis_appearance=cloudy} => {surgical_lesion=yes}",0.0181818176060915,1,1,1
"76","{temp_extremities=,capillary_refill_time=<3,nasogastric_reflux=none} => {surgical_lesion=yes}",0.0181818176060915,1,1,1
"77","{surgery=no,nasogastric_reflux=,rectal_examination=decreased} => {surgical_lesion=no}",0.0181818176060915,1,1,1
"78","{pulse=[-Inf;56],temp_extremities=warm,pain=intermittent mild pain,outcome=lived} => {surgical_lesion=no}",0.0181818176060915,1,1,1
"79","{surgery=no,Age=adult,capillary_refill_time=,pain=} => {surgical_lesion=no}",0.0181818176060915,1,1,1
"80","{peripheral_pulse=,nasogastric_reflux=,outcome=euthanized} => {surgical_lesion=no}",0.0151515156030655,1,1,4
"81","{peripheral_pulse=normal,mucous_membranes=pale cyanotic,abdominocentesis_appearance=} => {surgical_lesion=yes}",0.0151515156030655,1,1,1
"82","{pulse=[-Inf;56],peristalsis=hypermotile,abdominocentesis_appearance=clear} => {surgical_lesion=no}",0.0151515156030655,1,1,1
"83","{surgery=no,abdomen=,abdominocentesis_appearance=cloudy} => {surgical_lesion=no}",0.0151515156030655,1,1,1
"84","{pain=intermittent mild pain,abdominal_distension=none,rectal_examination=} => {surgical_lesion=no}",0.0151515156030655,1,1,1
"85","{peripheral_pulse=,mucous_membranes=normal pink,peristalsis=hypomotile} => {surgical_lesion=no}",0.0151515156030655,1,1,1
"86","{surgery=no,pulse=[-Inf;70],nasogastric_reflux=<1l} => {surgical_lesion=no}",0.0151515156030655,1,1,1
"87","{mucous_membranes=bright pink,nasogastric_tube=significant} => {surgical_lesion=no}",0.0121212117373943,1,1,1
"88","{pain=depressed,peristalsis=normal,abdominal_distension=none} => {surgical_lesion=no}",0.0121212117373943,1,1,1
"89","{peripheral_pulse=normal,abdominal_distension=slight,nasogastric_tube=significant} => {surgical_lesion=no}",0.0121212117373943,1,1,1
"90","{surgery=no,Age=young,capillary_refill_time=<3} => {surgical_lesion=no}",0.0121212117373943,1,1,1
"91","{peripheral_pulse=,pain=depressed,nasogastric_tube=} => {surgical_lesion=no}",0.0121212117373943,1,1,1
"92","{temp_extremities=normal,pain=depressed,rectal_examination=} => {surgical_lesion=yes}",0.0121212117373943,1,1,1
"93","{surgery=no,peripheral_pulse=,capillary_refill_time=>=3} => {surgical_lesion=no}",0.0121212117373943,1,1,1
"94","{surgery=yes,nasogastric_tube=slight,nasogastric_reflux=none} => {surgical_lesion=yes}",0.0939393937587738,0.96875,0.5,1
"95","{surgery=yes,abdomen=,outcome=died} => {surgical_lesion=yes}",0.0818181782960892,0.964285731315613,0.5,1
"96","{surgery=no,capillary_refill_time=<3,nasogastric_tube=} => {surgical_lesion=no}",0.0939393937587738,0.939393937587738,0.75,3
"97","{pulse=[-Inf;56],nasogastric_tube=none,abdomen=} => {surgical_lesion=no}",0.0212121214717627,0.875,1,1
"98","{surgery=no,nasogastric_tube=slight,rectal_examination=absent} => {surgical_lesion=no}",0.0181818176060915,0.857142865657806,1,1
"99","{Age=adult,temp_extremities=cold,rectal_examination=,abdomen=} => {surgical_lesion=no}",0.0151515156030655,0.833333313465118,1,2
"100","{pain=depressed,abdominocentesis_appearance=,outcome=euthanized} => {surgical_lesion=no}",0.0121212117373943,0.800000011920929,1,1
"101","{temp_extremities=,peripheral_pulse=,nasogastric_tube=none} => {surgical_lesion=no}",0.0121212117373943,0.666666686534882,1,1
"102","{capillary_refill_time=>=3,peristalsis=absent,nasogastric_reflux=} => {surgical_lesion=no}",0.0181818176060915,0.5,1,1
"103","{} => {surgical_lesion=yes}",0.630303025245667,0.630303025245667,NA,0
