surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
no,adult,38.5,66.0,28.0,cool,reduced,,>=3,continuous severe pain,absent,severe,,,,decreased,distended large intestine,45.0,8.4,,,died,no
yes,adult,39.2,88.0,20.0,,,pale cyanotic,<3,intermittent mild pain,absent,slight,,,,absent,other,50.0,85.0,cloudy,2.0,euthanized,no
no,adult,38.3,40.0,24.0,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,none,,,,normal,normal,33.0,6.7,,,lived,no
yes,young,39.1,164.0,84.0,cold,normal,dark cyanotic,>=3,depressed,absent,severe,none,>1l,5.0,decreased,,48.0,7.2,serosanguinous,5.3,died,yes
no,adult,37.3,104.0,35.0,,,dark cyanotic,>=3,,,,,,,,,74.0,7.4,,,died,no
no,adult,,,,warm,normal,pale pink,<3,depressed,hypomotile,slight,slight,none,,decreased,firm feces in large intestine,,,,,lived,no
yes,adult,37.9,48.0,16.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,none,none,,decreased,distended large intestine,37.0,7.0,,,lived,yes
yes,adult,,60.0,,cool,,,<3,,absent,slight,slight,none,,decreased,distended small intestine,44.0,8.3,,,died,yes
no,adult,,80.0,36.0,cool,absent,pale pink,<3,intermittent severe pain,absent,severe,slight,none,,decreased,distended large intestine,38.0,6.2,,,euthanized,yes
no,young,38.3,90.0,,normal,,normal pink,<3,continuous severe pain,hypomotile,none,slight,none,,decreased,,40.0,6.2,clear,2.2,lived,no
yes,adult,38.1,66.0,12.0,cool,reduced,bright red,<3,intermittent mild pain,hypomotile,none,slight,none,3.0,increased,distended large intestine,44.0,6.0,cloudy,3.6,lived,yes
no,adult,39.1,72.0,52.0,warm,,bright pink,<3,depressed,hypermotile,slight,none,none,,absent,distended small intestine,50.0,7.8,,,lived,yes
yes,adult,37.2,42.0,12.0,warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,significant,none,,absent,distended large intestine,,7.0,,,lived,no
no,young,38.0,92.0,28.0,normal,normal,bright pink,<3,alert no pain,hypomotile,slight,significant,,7.2,normal,normal,37.0,6.1,clear,,died,no
yes,adult,38.2,76.0,28.0,cool,normal,normal pink,<3,intermittent mild pain,absent,none,slight,>1l,,absent,distended small intestine,46.0,81.0,clear,2.0,lived,yes
yes,adult,37.6,96.0,48.0,cool,normal,pale cyanotic,<3,continuous severe pain,hypomotile,moderate,slight,<1l,4.5,absent,,45.0,6.8,,,died,yes
yes,young,,128.0,36.0,cool,reduced,pale cyanotic,>=3,intermittent severe pain,absent,moderate,significant,,,absent,distended large intestine,53.0,7.8,serosanguinous,4.7,died,no
no,adult,37.5,48.0,24.0,,,,,,,,,,,,,,,,,lived,no
yes,adult,37.6,64.0,21.0,normal,normal,bright pink,<3,depressed,hypomotile,none,none,none,,increased,distended large intestine,40.0,7.0,clear,,lived,yes
no,adult,39.4,110.0,35.0,cold,reduced,dark cyanotic,,,hypomotile,moderate,,,,,,55.0,8.7,,,lived,no
yes,adult,39.9,72.0,60.0,normal,normal,bright red,>=3,continuous severe pain,absent,severe,significant,none,,absent,distended small intestine,46.0,6.1,cloudy,,lived,yes
no,adult,38.4,48.0,16.0,normal,,normal pink,<3,alert no pain,hypomotile,none,slight,<1l,5.5,absent,firm feces in large intestine,49.0,6.8,,,lived,no
yes,adult,38.6,42.0,34.0,warm,normal,pale cyanotic,,depressed,hypomotile,none,,,,normal,,48.0,7.2,,,lived,yes
yes,young,38.3,130.0,60.0,,reduced,,<3,depressed,absent,,,,,,,50.0,70.0,,,lived,yes
yes,adult,38.1,60.0,12.0,cool,reduced,pale pink,<3,,absent,moderate,significant,>1l,2.0,,,51.0,65.0,,,lived,yes
no,adult,37.8,60.0,42.0,,,,<3,,,,,,,,,,,,,lived,no
yes,adult,38.3,72.0,30.0,cold,reduced,pale pink,>=3,intermittent mild pain,hypomotile,moderate,slight,none,,decreased,distended large intestine,43.0,7.0,cloudy,3.9,lived,yes
yes,adult,37.8,48.0,12.0,cool,normal,normal pink,<3,,hypomotile,slight,none,none,,normal,firm feces in large intestine,37.0,5.5,cloudy,1.3,lived,no
yes,adult,,,,,,,,,,,,,,,,,,,,died,no
no,adult,37.7,48.0,,warm,normal,normal pink,<3,alert no pain,hypermotile,none,none,none,,,,45.0,76.0,,,lived,no
no,adult,37.7,96.0,30.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,>1l,4.0,absent,distended large intestine,66.0,7.5,,,died,yes
no,adult,37.2,108.0,12.0,cool,reduced,pale cyanotic,>=3,depressed,absent,slight,,<1l,6.0,decreased,firm feces in large intestine,52.0,8.2,serosanguinous,7.4,euthanized,yes
yes,adult,37.2,60.0,,warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,,absent,distended large intestine,43.0,6.6,,,lived,yes
yes,adult,38.2,64.0,28.0,normal,normal,normal pink,<3,intermittent mild pain,hypermotile,,,,,absent,distended small intestine,49.0,8.6,cloudy,6.6,lived,yes
yes,adult,,100.0,30.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,<1l,,absent,distended small intestine,52.0,6.6,,,lived,yes
no,adult,,104.0,24.0,cold,reduced,pale pink,>=3,intermittent severe pain,absent,moderate,,<1l,,,other,73.0,8.4,,,euthanized,yes
no,adult,38.3,112.0,16.0,,reduced,bright red,>=3,,,none,none,>1l,,,distended large intestine,51.0,6.0,cloudy,1.0,euthanized,no
yes,adult,37.8,72.0,,,reduced,,<3,continuous severe pain,hypomotile,none,,none,,normal,normal,56.0,80.0,clear,2.0,lived,yes
no,adult,38.6,52.0,,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,none,,normal,firm feces in large intestine,32.0,6.6,clear,5.0,lived,no
yes,young,39.2,146.0,96.0,,,,,,,,,,,,,,,,,died,yes
yes,adult,,88.0,,cool,reduced,dark cyanotic,>=3,continuous severe pain,hypomotile,moderate,none,<1l,,absent,distended large intestine,63.0,6.5,serosanguinous,,died,yes
no,young,39.0,150.0,72.0,,,,,,,,,,,,,47.0,8.5,,0.1,lived,yes
no,adult,38.0,60.0,12.0,cool,normal,pale pink,<3,intermittent mild pain,hypomotile,none,none,none,,increased,other,47.0,7.0,,,lived,no
yes,adult,,120.0,,cool,absent,pale cyanotic,<3,intermittent severe pain,absent,severe,none,none,,,distended large intestine,52.0,67.0,cloudy,2.0,euthanized,yes
yes,adult,35.4,140.0,24.0,cool,reduced,pale cyanotic,>=3,intermittent severe pain,absent,,slight,none,,,distended large intestine,57.0,69.0,serosanguinous,2.0,euthanized,yes
no,adult,,120.0,,cold,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,none,none,,absent,distended large intestine,60.0,6.5,serosanguinous,,died,yes
yes,adult,37.9,60.0,15.0,cool,,pale cyanotic,>=3,continuous severe pain,absent,severe,slight,>1l,,absent,distended large intestine,65.0,7.5,,,lived,yes
no,adult,37.5,48.0,16.0,normal,normal,normal pink,<3,alert no pain,hypermotile,none,none,none,,normal,,37.0,6.5,,,lived,no
yes,adult,38.9,80.0,44.0,cool,reduced,pale pink,>=3,depressed,hypomotile,moderate,slight,>1l,7.0,decreased,normal,54.0,6.5,serosanguinous,,died,yes
no,adult,37.2,84.0,48.0,cool,reduced,bright red,>=3,intermittent severe pain,hypermotile,slight,none,>1l,,increased,normal,73.0,5.5,cloudy,4.1,died,no
no,adult,38.6,46.0,,normal,normal,bright pink,<3,alert no pain,hypomotile,slight,none,none,,,other,49.0,9.1,clear,1.6,lived,no
yes,adult,37.4,84.0,36.0,normal,,pale pink,>=3,intermittent mild pain,hypomotile,slight,,,,absent,distended large intestine,,,serosanguinous,,died,yes
no,adult,,,,normal,normal,pale pink,<3,alert no pain,hypomotile,none,,,,increased,other,43.0,7.7,,,lived,no
no,adult,38.6,40.0,20.0,,,,<3,,,,,,,,,41.0,6.4,,,lived,no
no,adult,40.3,114.0,36.0,cool,reduced,normal pink,>=3,depressed,hypomotile,moderate,slight,none,7.0,normal,distended large intestine,57.0,8.1,serosanguinous,4.5,euthanized,yes
yes,young,38.6,160.0,20.0,cool,,bright red,<3,intermittent mild pain,hypomotile,severe,significant,,,absent,,38.0,,cloudy,,died,yes
yes,adult,,,,,,,,,,,,,,,,24.0,6.7,,,lived,yes
yes,adult,,64.0,36.0,warm,,bright pink,<3,continuous severe pain,hypomotile,moderate,slight,>1l,,,,42.0,7.7,,,died,yes
yes,adult,,,20.0,cold,reduced,pale pink,,continuous severe pain,absent,moderate,slight,,,absent,distended small intestine,53.0,5.9,serosanguinous,,died,yes
no,adult,,96.0,,cool,reduced,pale pink,>=3,continuous severe pain,absent,severe,none,>1l,,absent,distended large intestine,60.0,,,,died,yes
no,adult,37.8,48.0,32.0,normal,normal,pale pink,<3,depressed,hypermotile,,none,none,,absent,distended large intestine,37.0,6.7,,,lived,no
no,adult,38.5,60.0,,warm,increased,normal pink,<3,alert no pain,normal,slight,slight,none,,normal,normal,44.0,7.7,,,lived,no
yes,adult,37.8,88.0,22.0,warm,normal,bright pink,<3,intermittent mild pain,,,slight,,,absent,,64.0,8.0,clear,6.0,died,yes
no,adult,38.2,130.0,16.0,cold,reduced,pale cyanotic,>=3,depressed,absent,severe,none,none,,,,65.0,82.0,cloudy,2.0,euthanized,no
yes,adult,39.0,64.0,36.0,cool,normal,pale cyanotic,>=3,intermittent mild pain,hypomotile,slight,none,>1l,7.0,absent,distended large intestine,44.0,7.5,serosanguinous,5.0,lived,yes
yes,adult,,60.0,36.0,cool,normal,pale pink,<3,intermittent mild pain,hypomotile,slight,none,none,,decreased,distended small intestine,26.0,72.0,cloudy,1.0,lived,yes
no,adult,37.9,72.0,,normal,normal,bright red,>=3,intermittent mild pain,hypomotile,none,none,<1l,2.0,decreased,distended small intestine,58.0,74.0,clear,2.0,lived,yes
no,adult,38.4,54.0,24.0,normal,normal,normal pink,<3,alert no pain,hypomotile,none,slight,none,,decreased,other,49.0,7.2,clear,,lived,no
no,adult,,52.0,16.0,normal,,pale pink,<3,,,,slight,<1l,5.5,,,55.0,7.2,,,lived,no
no,adult,38.0,48.0,12.0,normal,normal,normal pink,<3,alert no pain,hypomotile,,none,none,,decreased,other,42.0,6.3,cloudy,4.1,lived,no
no,adult,37.0,60.0,20.0,cool,,,<3,intermittent mild pain,,moderate,slight,>1l,4.5,absent,distended small intestine,43.0,7.6,,,euthanized,yes
yes,adult,37.8,48.0,28.0,normal,normal,normal pink,<3,alert no pain,normal,none,slight,,,normal,normal,46.0,5.9,cloudy,7.0,lived,no
yes,adult,37.7,56.0,,,,,,,,,,,,,,,,,,died,yes
yes,adult,38.1,52.0,24.0,normal,normal,bright red,<3,intermittent severe pain,hypomotile,none,slight,<1l,7.0,normal,,54.0,7.5,cloudy,2.6,died,yes
yes,young,,,,,,,,,,,,,,,,37.0,4.9,,,died,yes
yes,young,39.7,100.0,,cool,reduced,bright red,>=3,depressed,hypomotile,,,,,,,48.0,57.0,cloudy,2.0,euthanized,yes
yes,adult,37.6,38.0,20.0,cool,reduced,normal pink,<3,intermittent mild pain,hypomotile,slight,,,,decreased,,37.0,68.0,,,lived,yes
