dataset,accuracy,rules,antlength,buildtime,auc
anneal,0.992221947839925,25.1,2.28014472403603,0.76,0
australian,0.866670929241262,75.6,3.76638215605316,16.6,0.88608234295416
autos,0.782989902291962,50.1,2.48578303875856,0.72,0
breast-w,0.948464992855685,31,2.73748012323235,0.88,0.951070048309179
colic,0.788517464833254,87.9,2.86188280485113,0.32,0.784864229972926
credit-a,0.853690171720862,112.3,3.62407884679899,10.14,0.857468764964521
credit-g,0.758,161.2,3.44230412130745,12.41,0.676261904761905
diabetes,0.769617224880383,41.4,2.96252727991056,14.58,0.787564102564103
glass,0.693098375054897,24.4,2.74041061071196,2.67,0
heart-statlog,0.811111111111111,48,3.61508721667391,0.93,0.835277777777778
hepatitis,0.820024509803921,29,3.05641203703704,0.18,0.646474358974359
hypothyroid,0.986488184025216,15.7,2.45059352927774,22.84,0
ionosphere,0.891834733893557,40.2,1.88227569979968,5.43,0.873780024323503
iris,0.94,5,1.22904761904762,0.07,0
labor,0.876666666666667,10.6,1.6461038961039,0.04,0.8625
letter,0.294733268404838,78.3,2.91692171050368,47.72,0
lymph,0.799166666666667,37.8,2.91358408560709,0.07,0
segment,0.951948051948052,89.2,2.64805539324743,496.9,0
sonar,0.773917748917749,34.7,2.77175158066398,4.18,0.781186868686869
spambase,0.931533886800238,247.7,2.19841161694731,442.16,0.949612781235115
vehicle,0.704348417660499,106.7,3.66040480913212,32.71,0
vowel,0.694949494949495,97.2,3.43605711522991,299.35,0
