dataset,accuracy,rules,antlength,buildtime,auc
anneal,0.984443063179018,27.4,2.31389837620872,0.35,0
australian,0.847765193033735,123.4,3.77833603365704,0.82,0.85994036731558
autos,0.797769060331989,57.1,2.51177625620383,0.11,0
breast-w,0.954201148922521,57.2,2.70988660726069,0.2,0.955049626701801
colic,0.802102102102102,106.5,2.89009107503217,0.18,0.779703177257525
credit-a,0.85663134819145,147,3.61905746830873,0.62,0.865660086101512
credit-g,0.744,239.6,3.46684212178596,1.02,0.678272519352569
diabetes,0.748820915926179,56.7,2.81840937165983,0.33,0.777195156695157
glass,0.685666603927473,32.4,2.81512957541903,0.09,0
heart-statlog,0.825925925925926,61,3.61165422842662,0.15,0.848883838383838
hepatitis,0.808259803921569,37.6,3.15550961308984,0.07,0.638782051282051
hypothyroid,0.968742086130007,40.8,2.7030320648992,1.19,0
ionosphere,0.9284360410831,57.8,1.95005158467723,0.22,0.913746253746254
iris,0.933333333333333,9.1,1.40357864357864,0.03,0
labor,0.893333333333333,13.3,1.64205128205128,0.03,0.895833333333333
letter,0.262886154102516,91.1,2.98796486196037,9.75,0
lymph,0.799166666666667,39.2,2.87600925003364,0.07,0
segment,0.940692640692641,183,2.70679882282495,1.52,0
sonar,0.739891774891775,48.4,2.77281412306032,0.24,0.763621212121212
spambase,0.931753640037339,308.4,2.20400382788629,5.95,0.952617361052383
vehicle,0.677330030618812,149.2,3.62103096485715,0.82,0
vowel,0.608080808080808,134.2,3.41457643018604,1.04,0
