dataset,accuracy,rules,antlength,buildtime,auc
anneal,0.984443063179018,27.4,2.31389837620872,0.78,0
australian,0.859465351357935,123.4,3.77833603365704,25.85,0.878344641820873
autos,0.778667138861647,57.1,2.51177625620383,1.01,0
breast-w,0.951322718922229,57.2,2.70988660726069,1.04,0.948277997364954
colic,0.807436383752173,106.5,2.89009107503217,0.44,0.786111908278057
credit-a,0.852240896358543,147,3.61905746830873,15.43,0.856832895513447
credit-g,0.745,239.6,3.46684212178596,17.64,0.672914062587002
diabetes,0.763123718386876,56.7,2.81840937165983,19.87,0.782716524216524
glass,0.702819813037204,32.4,2.81512957541903,4.13,0
heart-statlog,0.833333333333333,61,3.61165422842662,1.4,0.825010822510823
hepatitis,0.813357843137255,37.6,3.15550961308984,0.21,0.638141025641026
hypothyroid,0.976164979889231,40.8,2.7030320648992,25.72,0
ionosphere,0.902782446311858,57.8,1.95005158467723,7.95,0.887081831212266
iris,0.933333333333333,9.1,1.40357864357864,0.11,0
labor,0.873333333333333,13.3,1.64205128205128,0.05,0.875
letter,0.271239824599121,91.1,2.98796486196037,39.57,0
lymph,0.799166666666667,39.2,2.87600925003364,0.07,0
segment,0.940692640692641,183,2.70679882282495,651.01,0
sonar,0.759155844155844,48.4,2.77281412306032,4.99,0.789664141414141
spambase,0.930448818591852,308.4,2.20400382788629,524.06,0.947341691041301
vehicle,0.688996589608241,149.2,3.62103096485715,44.33,0
vowel,0.675757575757576,134.2,3.41457643018604,399.28,0
kdd1000_,0.975,7.1,1.31785714285714,0.81,0
kdd10000_,0.9815,32,2.31896440516578,477.53,0
kdd20000_,0.98115,62.3,2.55860469683632,4549.13,0
