dataset,accuracy,rules,antlength,buildtime,auc
ionosphere,0.925494864612512,53.6,1.93252248774646,0.31,0.910442637073072
sonar,0.73512987012987,43.3,2.7854384876641,0.27,0.74655303030303
spambase,0.931320272122598,305.5,2.20591151701445,3.27,0.953276196984406
australian,0.850621118012422,108.7,3.7611563847218,0.31,0.874472922380393
breast-w,0.948506983932581,51.1,2.75003724056759,0.11,0.963169685990338
colic,0.793693693693694,94.8,2.87197862091075,0.12,0.784061952540213
credit-a,0.858122031421264,142.8,3.62213407395091,0.33,0.860414326759828
diabetes,0.748803827751196,51,2.88403630441852,0.2,0.788871794871795
heart-statlog,0.825925925925926,53.9,3.60176775682604,0.09,0.839166666666667
credit-g,0.71,167.8,3.44755159481293,0.53,0.680666666666667
anneal,0.984443063179018,27.4,2.31389837620872,0.36,0
autos,0.802238567433075,56.6,2.50744263008887,0.13,0
glass,0.661139657444005,28,2.77052017417636,0.12,0
hypothyroid,0.954962174029322,29.1,2.41522763316312,0.92,0
iris,0.826666666666667,6,1.2975,0.05,0
letter,0.262189716606638,90.7,2.98796423910902,4.87,0
lymph,0.799166666666667,38.4,2.91433382898841,0.07,0
segment,0.938961038961039,179.6,2.70502773011842,1.32,0
vehicle,0.696083785946227,147.3,3.61894778410617,0.6,0
vowel,0.648484848484849,134,3.41368370476692,1.14,0
hepatitis,0.807107843137255,32.1,3.0465275142315,0.11,0.634615384615385
labor,0.856666666666667,10.7,1.62150016650017,0.06,0.8375
