surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,,>=3,continuous severe pain,absent,severe,,,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,pale cyanotic,<3,intermittent mild pain,absent,slight,,,[-Inf; Inf],absent,other,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],euthanized,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,pale pink,<3,intermittent mild pain,hypomotile,none,,,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,young,[-Inf; Inf],(58; Inf],(59; Inf],cold,normal,dark cyanotic,>=3,depressed,absent,severe,none,>1l,[-Inf; Inf],decreased,,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,dark cyanotic,>=3,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,no
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,normal,pale pink,<3,depressed,hypomotile,slight,slight,none,[-Inf; Inf],decreased,firm feces in large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,,,<3,,absent,slight,slight,none,[-Inf; Inf],decreased,distended small intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,absent,pale pink,<3,intermittent severe pain,absent,severe,slight,none,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,yes
no,young,[-Inf; Inf],(58; Inf],[-Inf;59],normal,,normal pink,<3,continuous severe pain,hypomotile,none,slight,none,[-Inf; Inf],decreased,,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,bright red,<3,intermittent mild pain,hypomotile,none,slight,none,[-Inf; Inf],increased,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,,bright pink,<3,depressed,hypermotile,slight,none,none,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,significant,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,young,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,bright pink,<3,alert no pain,hypomotile,slight,significant,,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],died,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,normal pink,<3,intermittent mild pain,absent,none,slight,>1l,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,pale cyanotic,<3,continuous severe pain,hypomotile,moderate,slight,<1l,[-Inf; Inf],absent,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
