surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
no,adult,38.5,66.0,28.0,cool,reduced,,>=3,continuous severe pain,absent,severe,,,4.96612903226,decreased,distended large intestine,45.0,8.4,,2.93865546218,died,no
yes,adult,39.2,88.0,20.0,,,pale cyanotic,<3,intermittent mild pain,absent,slight,,,4.96612903226,absent,other,50.0,85.0,cloudy,2.0,euthanized,no
yes,young,39.1,164.0,84.0,cold,normal,dark cyanotic,>=3,depressed,absent,severe,none,>1l,5.0,decreased,,48.0,7.2,serosanguinous,5.3,died,yes
no,adult,37.3,104.0,35.0,,,dark cyanotic,>=3,,,,,,4.96612903226,,,74.0,7.4,,2.93865546218,died,no
no,adult,38.1351851852,70.591503268,30.4507575758,warm,normal,pale pink,<3,depressed,hypomotile,slight,slight,none,4.96612903226,decreased,firm feces in large intestine,45.5872053872,24.9202749141,,2.93865546218,lived,no
yes,adult,37.9,48.0,16.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,none,none,4.96612903226,decreased,distended large intestine,37.0,7.0,,2.93865546218,lived,yes
yes,adult,38.1351851852,60.0,30.4507575758,cool,,,<3,,absent,slight,slight,none,4.96612903226,decreased,distended small intestine,44.0,8.3,,2.93865546218,died,yes
no,adult,38.1351851852,80.0,36.0,cool,absent,pale pink,<3,intermittent severe pain,absent,severe,slight,none,4.96612903226,decreased,distended large intestine,38.0,6.2,,2.93865546218,euthanized,yes
no,young,38.3,90.0,30.4507575758,normal,,normal pink,<3,continuous severe pain,hypomotile,none,slight,none,4.96612903226,decreased,,40.0,6.2,clear,2.2,lived,no
yes,adult,38.1,66.0,12.0,cool,reduced,bright red,<3,intermittent mild pain,hypomotile,none,slight,none,3.0,increased,distended large intestine,44.0,6.0,cloudy,3.6,lived,yes
no,adult,39.1,72.0,52.0,warm,,bright pink,<3,depressed,hypermotile,slight,none,none,4.96612903226,absent,distended small intestine,50.0,7.8,,2.93865546218,lived,yes
yes,adult,37.2,42.0,12.0,warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,significant,none,4.96612903226,absent,distended large intestine,45.5872053872,7.0,,2.93865546218,lived,no
no,young,38.0,92.0,28.0,normal,normal,bright pink,<3,alert no pain,hypomotile,slight,significant,,7.2,normal,normal,37.0,6.1,clear,2.93865546218,died,no
yes,adult,38.2,76.0,28.0,cool,normal,normal pink,<3,intermittent mild pain,absent,none,slight,>1l,4.96612903226,absent,distended small intestine,46.0,81.0,clear,2.0,lived,yes
yes,young,38.1351851852,128.0,36.0,cool,reduced,pale cyanotic,>=3,intermittent severe pain,absent,moderate,significant,,4.96612903226,absent,distended large intestine,53.0,7.8,serosanguinous,4.7,died,no
no,adult,37.5,48.0,24.0,,,,,,,,,,4.96612903226,,,45.5872053872,24.9202749141,,2.93865546218,lived,no
