surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
no,adult,38.5,66.0,28.0,cool,reduced,,>=3,continuous severe pain,absent,severe,,,4.9380952381,decreased,distended large intestine,45.0,8.4,,3.01176470588,died,no
yes,adult,39.2,88.0,20.0,,,pale cyanotic,<3,intermittent mild pain,absent,slight,,,4.9380952381,absent,other,50.0,85.0,cloudy,2.0,euthanized,no
no,adult,38.3,40.0,24.0,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,none,,,4.9380952381,normal,normal,33.0,6.7,,3.01176470588,lived,no
yes,young,39.1,164.0,84.0,cold,normal,dark cyanotic,>=3,depressed,absent,severe,none,>1l,5.0,decreased,,48.0,7.2,serosanguinous,5.3,died,yes
no,adult,37.3,104.0,35.0,,,dark cyanotic,>=3,,,,,,4.9380952381,,,74.0,7.4,,3.01176470588,died,no
no,adult,38.1324723247,70.9774919614,30.9372693727,warm,normal,pale pink,<3,depressed,hypomotile,slight,slight,none,4.9380952381,decreased,firm feces in large intestine,45.8717607973,24.927027027,,3.01176470588,lived,no
yes,adult,37.9,48.0,16.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,none,none,4.9380952381,decreased,distended large intestine,37.0,7.0,,3.01176470588,lived,yes
no,young,38.3,90.0,30.9372693727,normal,,normal pink,<3,continuous severe pain,hypomotile,none,slight,none,4.9380952381,decreased,,40.0,6.2,clear,2.2,lived,no
yes,adult,38.1,66.0,12.0,cool,reduced,bright red,<3,intermittent mild pain,hypomotile,none,slight,none,3.0,increased,distended large intestine,44.0,6.0,cloudy,3.6,lived,yes
no,adult,39.1,72.0,52.0,warm,,bright pink,<3,depressed,hypermotile,slight,none,none,4.9380952381,absent,distended small intestine,50.0,7.8,,3.01176470588,lived,yes
