X,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,labels
(73846;91395.5],[-Inf;0.5],b'tcp',b'http',b'SF',(35.5;451.5],(18;8206],0,0,0,[-Inf;0.5],0,1,0,0,0,0,0,0,0,0,0,0,[-Inf;7.5],(26;158],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.625; Inf],[-Inf;0.035],(0.005; Inf],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],normal.
(149938.5;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(991.5;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.625; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(53454;73846],[-Inf;0.5],b'tcp',b'private',b'S0',[-Inf;3.5],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(71.5;366],(2.5;26],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.23],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;30.5],(0.005;0.105],(0.035;0.11],[-Inf;0.005],[-Inf;0.005],(0.775; Inf],(0.51; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
(43450.5;50000],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(991.5;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.625; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(149938.5;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(991.5;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.625; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(107736.5;128411],[-Inf;0.5],b'tcp',b'private',b'S0',[-Inf;3.5],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(71.5;366],[-Inf;2.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.23],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;30.5],(0.005;0.105],(0.035;0.11],[-Inf;0.005],[-Inf;0.005],(0.775; Inf],(0.51; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
(73846;91395.5],[-Inf;0.5],b'tcp',b'ftp_data',b'SF',(1040;33722.5],[-Inf;18],0,0,0,[-Inf;0.5],0,1,0,0,0,0,0,0,0,0,0,0,(7.5;71.5],(2.5;26],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.625; Inf],[-Inf;0.035],(0.005; Inf],[-Inf;254],(30.5;254.5],(0.105;0.995],(0.035;0.11],(0.005;0.995],(0.005; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],normal.
(91395.5;103171],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(991.5;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.625; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(149938.5;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(991.5;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.625; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(149938.5;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(991.5;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.625; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(43450.5;50000],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(991.5;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.625; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
