Speaker.Number,Sex,Feature.0,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Feature.8,Feature.9,Class
Andrew,Male,(-3.355;-3.0185],(0.4245;0.711],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.498],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],[-Inf;-0.4105],[-Inf; Inf],hId
Andrew,Male,(-4.2625;-3.7375],(2.215;3.1765],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.12; Inf],[-Inf; Inf],hod
Andrew,Male,(-4.2625;-3.7375],(1.4125;2.215],[-Inf;0.4725],(0.1735;0.829],(-0.7345;0.498],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(0.12; Inf],[-Inf; Inf],hUd
Andrew,Male,(-2.3195;-2.1045],(1.4125;2.215],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.4105;0.12],[-Inf; Inf],hAd
Andrew,Male,(-3.7375;-3.355],(1.4125;2.215],[-Inf;0.4725],(0.1735;0.829],(-1.104;-0.7345],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(0.12; Inf],[-Inf; Inf],hUd
Andrew,Male,(-3.7375;-3.355],(-0.1235;0.4245],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.498],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],[-Inf;-0.4105],[-Inf; Inf],hid
Andrew,Male,(-3.355;-3.0185],(-0.1235;0.4245],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.498],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.4105;0.12],[-Inf; Inf],hId
Andrew,Male,(-3.7375;-3.355],(1.4125;2.215],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.12; Inf],[-Inf; Inf],hOd
Andrew,Male,(-3.355;-3.0185],(0.4245;0.711],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.498],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],[-Inf;-0.4105],[-Inf; Inf],hId
Andrew,Male,(-3.7375;-3.355],(1.4125;2.215],[-Inf;0.4725],(0.1735;0.829],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.12; Inf],[-Inf; Inf],hOd
Bill,Male,(-2.1045;-1.45],(-0.1235;0.4245],[-Inf;0.4725],[-Inf;0.1735],(-0.7345;0.498],[-Inf;1.451],(0.4795; Inf],(0.0765; Inf],(0.12; Inf],[-Inf; Inf],hId
Bill,Male,(-3.0185;-2.3195],(1.4125;2.215],[-Inf;0.4725],[-Inf;0.1735],(-0.7345;0.498],[-Inf;1.451],(-0.6605;0.4795],[-Inf;0.0765],(0.12; Inf],[-Inf; Inf],had
Bill,Male,(-4.6685;-4.2625],(2.215;3.1765],[-Inf;0.4725],(0.1735;0.829],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],[-Inf;0.0765],(0.12; Inf],[-Inf; Inf],hud
Bill,Male,(-2.1045;-1.45],(-0.1235;0.4245],[-Inf;0.4725],[-Inf;0.1735],(-0.7345;0.498],(1.451; Inf],(0.4795; Inf],(0.0765; Inf],(0.12; Inf],[-Inf; Inf],hId
Bill,Male,(-3.0185;-2.3195],(1.4125;2.215],[-Inf;0.4725],[-Inf;0.1735],(-0.7345;0.498],[-Inf;1.451],(-0.6605;0.4795],[-Inf;0.0765],(-0.4105;0.12],[-Inf; Inf],hed
Bill,Male,(-3.0185;-2.3195],(2.215;3.1765],[-Inf;0.4725],[-Inf;0.1735],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.12; Inf],[-Inf; Inf],hYd
David,Male,(-2.1045;-1.45],(0.711;1.4125],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.498],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],[-Inf;-0.4105],[-Inf; Inf],hEd
