Speaker.Number,Sex,Feature.0,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Feature.8,Feature.9,Class
Andrew,Male,(-3.7375;-3.355],(-0.1235;0.519],[-Inf;0.4725],(0.829; Inf],(-0.396;0.5035],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hid
Andrew,Male,(-4.2625;-3.7375],(1.1855;2.1435],[-Inf;0.4725],(0.0525;0.829],(-1.104;-0.396],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hUd
Andrew,Male,(-3.0185;-2.3195],(1.1855;2.1435],[-Inf;0.4725],(0.0525;0.829],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],(0.122; Inf],(-0.976; Inf],had
Andrew,Male,(-3.0185;-2.3195],(2.1435;3.0665],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hYd
Andrew,Male,(-4.2625;-3.7375],(2.1435;3.0665],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hod
Andrew,Male,(-2.3195;-1.557],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hAd
Andrew,Male,(-3.0185;-2.3195],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hYd
Andrew,Male,(-3.0185;-2.3195],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hAd
Bill,Male,(-4.6685;-4.2625],(2.1435;3.0665],[-Inf;0.4725],(0.0525;0.829],(-1.104;-0.396],(1.2425;1.451],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hud
Bill,Male,(-2.3195;-1.557],(-0.1235;0.519],[-Inf;0.4725],[-Inf;0.0525],(-0.396;0.5035],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hEd
Bill,Male,(-4.2625;-3.7375],(2.1435;3.0665],[-Inf;0.4725],(0.0525;0.829],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hUd
Bill,Male,(-3.355;-3.0185],(3.0665;3.687],[-Inf;0.4725],[-Inf;0.0525],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hOd
David,Male,(-1.557; Inf],(0.519;1.1855],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hEd
David,Male,(-3.0185;-2.3195],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-1.013;-0.6575],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hOd
David,Male,(-1.557; Inf],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hAd
David,Male,(-2.3195;-1.557],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.2425],(-1.013;-0.6575],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hYd
David,Male,(-1.557; Inf],[-Inf;-0.1235],[-Inf;0.4725],(0.829; Inf],(-0.396;0.5035],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hid
David,Male,(-2.3195;-1.557],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],had
David,Male,(-4.6685;-4.2625],(2.1435;3.0665],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(0.4795; Inf],(-0.69;0.0765],(0.122; Inf],(-0.976; Inf],hud
David,Male,(-1.557; Inf],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hAd
David,Male,(-2.3195;-1.557],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hYd
David,Male,(-3.7375;-3.355],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hUd
Mark,Male,(-3.355;-3.0185],(1.1855;2.1435],[-Inf;0.4725],(0.0525;0.829],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hUd
Mark,Male,(-3.0185;-2.3195],(1.1855;2.1435],(0.4725;1.086],(0.0525;0.829],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hYd
Mark,Male,(-3.355;-3.0185],(1.1855;2.1435],(0.4725;1.086],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],[-Inf;-1.173],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hOd
Mark,Male,(-2.3195;-1.557],(0.519;1.1855],[-Inf;0.4725],(0.0525;0.829],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],had
Mark,Male,(-4.6685;-4.2625],(1.1855;2.1435],[-Inf;0.4725],(0.0525;0.829],(-0.396;0.5035],(1.2425;1.451],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hud
Jo,Female,(-3.0185;-2.3195],(-0.1235;0.519],[-Inf;0.4725],(0.829; Inf],(-0.396;0.5035],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hEd
Jo,Female,(-3.7375;-3.355],(2.1435;3.0665],(0.4725;1.086],(0.0525;0.829],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hOd
Jo,Female,(-3.355;-3.0185],(-0.1235;0.519],(0.4725;1.086],(0.829; Inf],(0.5035; Inf],[-Inf;1.2425],(-1.013;-0.6575],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hId
Jo,Female,(-3.0185;-2.3195],(2.1435;3.0665],[-Inf;0.4725],[-Inf;0.0525],(-1.104;-0.396],[-Inf;1.2425],(0.4795; Inf],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hYd
Jo,Female,(-3.0185;-2.3195],(1.1855;2.1435],[-Inf;0.4725],[-Inf;0.0525],(-1.104;-0.396],[-Inf;1.2425],(0.4795; Inf],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hYd
Kate,Female,(-3.0185;-2.3195],(0.519;1.1855],[-Inf;0.4725],(0.829; Inf],(-0.396;0.5035],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hEd
Kate,Female,(-3.355;-3.0185],(-0.1235;0.519],[-Inf;0.4725],(0.0525;0.829],(0.5035; Inf],[-Inf;1.2425],(0.4795; Inf],[-Inf;-0.69],[-Inf;0.122],(-0.976; Inf],hid
Kate,Female,[-Inf;-4.6685],(3.0665;3.687],[-Inf;0.4725],(0.0525;0.829],(-0.396;0.5035],[-Inf;1.2425],(0.4795; Inf],(-0.69;0.0765],[-Inf;0.122],[-Inf;-0.976],hud
Kate,Female,(-3.355;-3.0185],[-Inf;-0.1235],[-Inf;0.4725],(0.829; Inf],(0.5035; Inf],[-Inf;1.2425],(0.4795; Inf],[-Inf;-0.69],[-Inf;0.122],(-0.976; Inf],hid
Kate,Female,(-3.0185;-2.3195],(2.1435;3.0665],[-Inf;0.4725],[-Inf;0.0525],[-Inf;-1.104],[-Inf;1.2425],(0.4795; Inf],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hYd
Penny,Female,(-3.0185;-2.3195],(2.1435;3.0665],[-Inf;0.4725],[-Inf;0.0525],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hYd
Penny,Female,(-3.0185;-2.3195],(1.1855;2.1435],[-Inf;0.4725],[-Inf;0.0525],(-0.396;0.5035],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hed
Penny,Female,(-2.3195;-1.557],(2.1435;3.0665],[-Inf;0.4725],(0.0525;0.829],(-0.396;0.5035],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hAd
Penny,Female,(-2.3195;-1.557],(1.1855;2.1435],[-Inf;0.4725],(0.0525;0.829],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hAd
Penny,Female,(-4.6685;-4.2625],(3.0665;3.687],[-Inf;0.4725],[-Inf;0.0525],(-0.396;0.5035],[-Inf;1.2425],(0.4795; Inf],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hod
Penny,Female,(-4.2625;-3.7375],(2.1435;3.0665],[-Inf;0.4725],[-Inf;0.0525],(0.5035; Inf],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hUd
Penny,Female,(-3.0185;-2.3195],(1.1855;2.1435],[-Inf;0.4725],(0.0525;0.829],(-0.396;0.5035],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hed
Rose,Female,[-Inf;-4.6685],(3.687; Inf],[-Inf;0.4725],[-Inf;0.0525],(-0.396;0.5035],[-Inf;1.2425],(0.4795; Inf],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hud
Rose,Female,(-4.2625;-3.7375],(0.519;1.1855],[-Inf;0.4725],(0.829; Inf],(-0.396;0.5035],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hEd
Rose,Female,(-4.2625;-3.7375],(1.1855;2.1435],[-Inf;0.4725],(0.0525;0.829],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],had
Rose,Female,[-Inf;-4.6685],(3.687; Inf],[-Inf;0.4725],[-Inf;0.0525],(-0.396;0.5035],[-Inf;1.2425],(0.4795; Inf],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hud
Rose,Female,(-4.6685;-4.2625],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-0.396;0.5035],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hId
Mike,Male,(-3.0185;-2.3195],(-0.1235;0.519],[-Inf;0.4725],(0.0525;0.829],(-0.396;0.5035],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hId
Mike,Male,[-Inf;-4.6685],(1.1855;2.1435],(0.4725;1.086],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hud
Mike,Male,(-4.2625;-3.7375],(3.0665;3.687],[-Inf;0.4725],(0.0525;0.829],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hod
Mike,Male,(-4.2625;-3.7375],(2.1435;3.0665],[-Inf;0.4725],(0.0525;0.829],[-Inf;-1.104],[-Inf;1.2425],(-1.013;-0.6575],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hod
Mike,Male,(-4.2625;-3.7375],(3.0665;3.687],[-Inf;0.4725],(0.0525;0.829],[-Inf;-1.104],[-Inf;1.2425],(-1.013;-0.6575],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hod
