X,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,labels
(480226; Inf],[-Inf;0.5],b'tcp',b'http',b'SF',(29;500],(52.5;8206],0,0,0,[-Inf;0.5],0,1,0,0,0,0,0,0,0,0,0,0,[-Inf;7.5],(3.5;25.5],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],[-Inf;254],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.005;0.995],(0.005; Inf],[-Inf;0.005],[-Inf;0.005],(0.005;0.695],(0.005;0.995],normal.
(53349.5;73846],[-Inf;0.5],b'tcp',b'printer',b'S0',[-Inf;3.5],[-Inf;52.5],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(7.5;81],(3.5;25.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.23],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;27],(0.005;0.105],(0.045;0.11],[-Inf;0.005],[-Inf;0.005],(0.9; Inf],(0.505; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
(53349.5;73846],[-Inf;0.5],b'tcp',b'private',b'S0',[-Inf;3.5],[-Inf;52.5],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(81;366],(3.5;25.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.23],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;27],(0.005;0.105],(0.045;0.11],[-Inf;0.005],[-Inf;0.005],(0.9; Inf],(0.505; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
[-Inf;42987],[-Inf;0.5],b'tcp',b'http',b'SF',(33722.5; Inf],(8206;8490.5],0,0,0,(0.5; Inf],0,1,1,0,0,0,0,0,0,0,0,0,[-Inf;7.5],(3.5;25.5],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],(0.005;0.695],(0.005;0.995],back.
(149938.5;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(991.5;1040],[-Inf;52.5],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
[-Inf;42987],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(991.5;1040],[-Inf;52.5],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(149938.5;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(991.5;1040],[-Inf;52.5],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(350037;395938],[-Inf;0.5],b'tcp',b'private',b'S0',[-Inf;3.5],[-Inf;52.5],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(81;366],[-Inf;3.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],[-Inf;0.005],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;27],(0.005;0.105],(0.045;0.11],[-Inf;0.005],[-Inf;0.005],(0.9; Inf],(0.505; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
(136254;149938.5],[-Inf;0.5],b'tcp',b'private',b'REJ',[-Inf;3.5],[-Inf;52.5],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],[-Inf;3.5],(0.005;0.745],[-Inf;0.75],(0.47;0.98],(0.02; Inf],[-Inf;0.005],(0.48; Inf],[-Inf;0.005],(254; Inf],[-Inf;1.5],[-Inf;0.005],(0.935; Inf],[-Inf;0.005],[-Inf;0.005],(0.005;0.9],[-Inf;0.005],(0.805;0.98],(0.995; Inf],satan.
(136254;149938.5],(0.5; Inf],b'tcp',b'ftp',b'SF',(1040;33722.5],(52.5;8206],0,0,0,(0.5; Inf],0,1,0,0,0,0,0,0,0,0,0,1,[-Inf;7.5],[-Inf;3.5],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(27;254.5],(0.105;0.995],(0.005;0.045],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],warezclient.
(53349.5;73846],[-Inf;0.5],b'tcp',b'private',b'S0',[-Inf;3.5],[-Inf;52.5],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(81;366],(3.5;25.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.23],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;27],(0.005;0.105],(0.045;0.11],[-Inf;0.005],[-Inf;0.005],(0.9; Inf],(0.505; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
