Speaker.Number,Sex,Feature.0,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Feature.8,Feature.9,Class
Andrew,Male,(-3.538;-3.0185],(0.426;0.711],[-Inf;0.4725],(0.829;1.5145],(-0.7345;0.286],(1.451; Inf],(-0.6605;0.4795],(0.083; Inf],[-Inf;-0.4855],(-0.9615; Inf],hId
Andrew,Male,(-4.2625;-3.538],(-0.1235;0.426],[-Inf;0.4725],(1.5145; Inf],(-0.7345;0.286],(1.451; Inf],(-0.6605;0.4795],(0.083; Inf],[-Inf;-0.4855],(-0.9615; Inf],hid
Andrew,Male,(-2.403;-1.6645],(0.711;1.4125],[-Inf;0.4725],(0.0525;0.829],(-0.7345;0.286],(1.451; Inf],(-0.6605;0.4795],(0.083; Inf],[-Inf;-0.4855],(-0.9615; Inf],hEd
Andrew,Male,(-3.538;-3.0185],(-0.1235;0.426],[-Inf;0.4725],(0.829;1.5145],(-0.7345;0.286],(1.451; Inf],(-0.6605;0.4795],(0.083; Inf],(-0.4855;0.122],(-0.9615; Inf],hId
Andrew,Male,(-4.2625;-3.538],(1.4125;2.1435],[-Inf;0.4725],(1.5145; Inf],(-0.7345;0.286],[-Inf;1.451],(-0.6605;0.4795],(0.083; Inf],(0.122; Inf],(-0.9615; Inf],hud
Andrew,Male,(-3.0185;-2.403],(1.4125;2.1435],[-Inf;0.4725],(0.0525;0.829],[-Inf;-1.0915],[-Inf;1.451],(-0.6605;0.4795],(0.083; Inf],(-0.4855;0.122],(-0.9615; Inf],hed
Bill,Male,(-4.2625;-3.538],(-0.1235;0.426],[-Inf;0.4725],(0.0525;0.829],(0.286; Inf],[-Inf;1.451],(0.4795; Inf],(-0.69;0.083],[-Inf;-0.4855],(-0.9615; Inf],hid
Bill,Male,(-3.0185;-2.403],(2.1435;3.1765],[-Inf;0.4725],[-Inf;0.0525],(-1.0915;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.083; Inf],(0.122; Inf],(-0.9615; Inf],hYd
Bill,Male,(-4.2625;-3.538],(3.1765; Inf],[-Inf;0.4725],[-Inf;0.0525],(-1.0915;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.083; Inf],(-0.4855;0.122],(-0.9615; Inf],hod
Bill,Male,[-Inf;-4.6685],(2.1435;3.1765],[-Inf;0.4725],(0.0525;0.829],(-1.0915;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(-0.69;0.083],(0.122; Inf],(-0.9615; Inf],hud
Bill,Male,(-4.6685;-4.2625],(-0.1235;0.426],(0.4725;1.086],(0.829;1.5145],(0.286; Inf],[-Inf;1.451],(-0.6605;0.4795],(-0.69;0.083],[-Inf;-0.4855],(-0.9615; Inf],hid
