dataset,accuracy,rules,antlength,buildtime
hepatitis,0.762941176470588,2,1.1,17.973
ionosphere,0.90000466853408,3.2,1.55833333333333,9.044
sonar,0.721753246753247,2.2,1.55,26.071
spambase,0.895229911910901,7.6,1.70496031746032,23.04
australian,0.836252587991718,3,1.3,27.834
breast-w,0.941342839646575,4.4,1.65,1.927
colic,0.807657657657658,2,1.4,179.314
credit-a,0.844887346242845,3.2,1.45,24.04
diabetes,0.735765550239234,4.2,1.47,1.676
heart-statlog,0.737037037037037,2.6,1.675,12.114
credit-g,0.709,2.1,1.16666666666667,48.936
