a20,a21,a08,a09,a24,a25,a26,a27,a02,a03,a01,a06,a07,a04,a05,a23,a33,a34,a28,a29,a32,a15,a14,a17,a16,a11,a10,a13,a12,a19,a18,a31,a22,a30,class
0.965545_to_inf,-inf_to_-0.957365,-0.000375_to_0.000985,0.05561_to_inf,0.00933_to_0.89747,-inf_to_0.3303,0.825685_to_inf,0.99921_to_inf,All,0.998505_to_inf,-inf_to_0.5,-0.00114_to_0.00101,-inf_to_0.029375,-inf_to_-0.609635,-inf_to_0.04144,0.999665_to_inf,0.994855_to_inf,0.95098_to_inf,0.892705_to_inf,0.997_to_inf,0.86464_to_inf,-0.0283_to_0.210915,0.97565_to_inf,All,-0.00197_to_0.001495,0.9991_to_inf,0.9891_to_inf,-0.96941_to_-0.076515,-inf_to_-0.56293,-0.4291_to_inf,0.99361_to_inf,0.99556_to_inf,0.923655_to_inf,-inf_to_-0.91428,b
-0.912755_to_0.965545,0.07206_to_0.998475,-0.983575_to_-0.000375,0.05561_to_inf,-0.987455_to_-0.02301,0.3303_to_0.999495,-0.98148_to_0.825685,0.52812_to_0.99921,All,0.998505_to_inf,0.5_to_inf,-0.79531_to_-0.00114,0.999995_to_inf,-0.009595_to_0.007075,0.995175_to_inf,0.18657_to_0.999665,0.0002_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.892705,0.06779_to_0.997,-0.969765_to_0.86464,0.99914_to_inf,-0.554585_to_0.652535,All,-0.90517_to_-0.00197,0.9991_to_inf,-0.49981_to_0.591395,0.998725_to_inf,-0.56293_to_-0.00027,-0.4291_to_inf,-0.8145_to_0.99361,0.135195_to_0.99556,-0.96798_to_-0.0014,-0.91428_to_0.921765,g
-0.912755_to_0.965545,0.998475_to_inf,-0.983575_to_-0.000375,0.05561_to_inf,0.89747_to_inf,0.3303_to_0.999495,0.825685_to_inf,0.52812_to_0.99921,All,0.998505_to_inf,0.5_to_inf,0.00101_to_0.953815,0.999995_to_inf,0.007075_to_0.74685,0.995175_to_inf,0.18657_to_0.999665,0.0002_to_0.994855,0.95098_to_inf,0.892705_to_inf,0.06779_to_0.997,0.86464_to_inf,0.99914_to_inf,-0.554585_to_0.652535,All,0.001495_to_0.95702,0.9991_to_inf,0.591395_to_0.9891,0.998725_to_inf,0.001845_to_0.98374,-0.4291_to_inf,-0.8145_to_0.99361,0.135195_to_0.99556,0.923655_to_inf,0.921765_to_inf,g
-inf_to_-0.912755,0.998475_to_inf,-inf_to_-0.983575,0.05561_to_inf,0.89747_to_inf,0.3303_to_0.999495,0.825685_to_inf,0.99921_to_inf,All,-inf_to_0.19028,0.5_to_inf,0.00101_to_0.953815,0.999995_to_inf,-inf_to_-0.609635,0.995175_to_inf,-0.96809_to_-0.0092,0.994855_to_inf,-inf_to_-0.974115,0.892705_to_inf,0.997_to_inf,-inf_to_-0.969765,0.99914_to_inf,-0.554585_to_0.652535,All,-inf_to_-0.90517,0.9991_to_inf,-0.49981_to_0.591395,0.998725_to_inf,0.001845_to_0.98374,-0.4291_to_inf,-0.8145_to_0.99361,0.99556_to_inf,-0.96798_to_-0.0014,-inf_to_-0.91428,b
-0.912755_to_0.965545,0.07206_to_0.998475,-0.983575_to_-0.000375,0.05561_to_inf,-0.987455_to_-0.02301,0.3303_to_0.999495,-0.98148_to_0.825685,0.52812_to_0.99921,All,0.998505_to_inf,0.5_to_inf,-0.79531_to_-0.00114,0.029375_to_0.999995,-0.609635_to_-0.009595,0.995175_to_inf,0.18657_to_0.999665,0.0002_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.892705,0.06779_to_0.997,-0.969765_to_0.86464,0.210915_to_0.99914,-0.554585_to_0.652535,All,-0.90517_to_-0.00197,0.08713_to_0.9991,-0.49981_to_0.591395,0.35474_to_0.998725,-0.56293_to_-0.00027,-0.4291_to_inf,-0.8145_to_0.99361,0.135195_to_0.99556,-0.96798_to_-0.0014,-0.91428_to_0.921765,g
-0.912755_to_0.965545,0.07206_to_0.998475,0.000985_to_0.979525,0.05561_to_inf,0.00933_to_0.89747,0.3303_to_0.999495,-0.98148_to_0.825685,-inf_to_0.52812,All,0.741295_to_0.998505,0.5_to_inf,0.00101_to_0.953815,0.029375_to_0.999995,0.007075_to_0.74685,0.04144_to_0.995175,0.18657_to_0.999665,0.0002_to_0.994855,0.0054_to_0.95098,-0.936175_to_0.892705,0.06779_to_0.997,0.86464_to_inf,0.210915_to_0.99914,-0.554585_to_0.652535,All,0.001495_to_0.95702,0.08713_to_0.9991,-0.49981_to_0.591395,0.35474_to_0.998725,0.001845_to_0.98374,-0.4291_to_inf,-0.8145_to_0.99361,0.135195_to_0.99556,0.000375_to_0.923655,-0.91428_to_0.921765,g
-0.912755_to_0.965545,-1.5e-05_to_0.07206,0.000985_to_0.979525,-0.025605_to_0.05561,-0.02301_to_0.00933,0.3303_to_0.999495,-0.98148_to_0.825685,0.52812_to_0.99921,All,0.19028_to_0.741295,0.5_to_inf,-0.00114_to_0.00101,-inf_to_0.029375,0.007075_to_0.74685,-inf_to_0.04144,-0.0092_to_0.18657,-4e-05_to_0.0002,-3e-05_to_0.0054,-0.936175_to_0.892705,-9e-05_to_0.06779,-0.969765_to_0.86464,-0.0283_to_0.210915,-0.554585_to_0.652535,All,-0.90517_to_-0.00197,-0.01058_to_0.08713,-0.49981_to_0.591395,-0.076515_to_0.35474,-0.00027_to_0.001845,-0.4291_to_inf,-0.8145_to_0.99361,-6e-05_to_0.135195,-0.0014_to_0.000375,-0.91428_to_0.921765,b
-0.912755_to_0.965545,0.07206_to_0.998475,0.000985_to_0.979525,0.05561_to_inf,0.00933_to_0.89747,-inf_to_0.3303,-0.98148_to_0.825685,-inf_to_0.52812,All,0.741295_to_0.998505,0.5_to_inf,0.00101_to_0.953815,0.029375_to_0.999995,0.007075_to_0.74685,0.04144_to_0.995175,0.18657_to_0.999665,-0.959515_to_-4e-05,0.0054_to_0.95098,-0.936175_to_0.892705,0.06779_to_0.997,-0.969765_to_0.86464,0.210915_to_0.99914,-0.554585_to_0.652535,All,0.001495_to_0.95702,0.08713_to_0.9991,-0.49981_to_0.591395,0.35474_to_0.998725,0.001845_to_0.98374,-0.4291_to_inf,-0.8145_to_0.99361,-6e-05_to_0.135195,0.000375_to_0.923655,-0.91428_to_0.921765,g
-0.912755_to_0.965545,-0.957365_to_-1.5e-05,0.000985_to_0.979525,-0.704705_to_-0.025605,0.00933_to_0.89747,-inf_to_0.3303,-0.98148_to_0.825685,-inf_to_0.52812,All,0.19028_to_0.741295,0.5_to_inf,0.00101_to_0.953815,0.029375_to_0.999995,0.007075_to_0.74685,0.04144_to_0.995175,-0.96809_to_-0.0092,-0.959515_to_-4e-05,-0.974115_to_-3e-05,-0.936175_to_0.892705,-inf_to_-0.91183,-0.969765_to_0.86464,-0.98825_to_-0.0283,-0.554585_to_0.652535,All,0.001495_to_0.95702,-0.01058_to_0.08713,-0.49981_to_0.591395,-0.96941_to_-0.076515,0.001845_to_0.98374,-0.4291_to_inf,-0.8145_to_0.99361,-0.84848_to_-6e-05,0.000375_to_0.923655,-inf_to_-0.91428,b
-0.912755_to_0.965545,-0.957365_to_-1.5e-05,0.000985_to_0.979525,0.05561_to_inf,0.00933_to_0.89747,-inf_to_0.3303,-0.98148_to_0.825685,-inf_to_0.52812,All,0.741295_to_0.998505,0.5_to_inf,-0.00114_to_0.00101,0.029375_to_0.999995,0.007075_to_0.74685,-inf_to_0.04144,-0.96809_to_-0.0092,-4e-05_to_0.0002,-3e-05_to_0.0054,-0.936175_to_0.892705,-inf_to_-0.91183,-0.969765_to_0.86464,0.210915_to_0.99914,-0.554585_to_0.652535,All,0.001495_to_0.95702,0.08713_to_0.9991,0.9891_to_inf,-0.076515_to_0.35474,0.98374_to_inf,-0.989535_to_-0.4291,-0.8145_to_0.99361,-inf_to_-0.84848,0.000375_to_0.923655,-0.91428_to_0.921765,b
