surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
no,adult,All,58.0_to_inf,All,cool,reduced,,>=3,continuous severe pain,absent,severe,,,All,decreased,distended large intestine,-inf_to_49.5,All,,All,died,no
yes,adult,All,58.0_to_inf,All,,,pale cyanotic,<3,intermittent mild pain,absent,slight,,,All,absent,other,49.5_to_inf,All,cloudy,All,euthanized,no
no,adult,All,-inf_to_58.0,All,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,none,,,All,normal,normal,-inf_to_49.5,All,,All,lived,no
yes,young,All,58.0_to_inf,All,cold,normal,dark cyanotic,>=3,depressed,absent,severe,none,>1l,All,decreased,,-inf_to_49.5,All,serosanguinous,All,died,yes
no,adult,All,58.0_to_inf,All,,,dark cyanotic,>=3,,,,,,All,,,49.5_to_inf,All,,All,died,no
no,adult,All,58.0_to_inf,All,warm,normal,pale pink,<3,depressed,hypomotile,slight,slight,none,All,decreased,firm feces in large intestine,-inf_to_49.5,All,,All,lived,no
yes,adult,All,-inf_to_58.0,All,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,none,none,All,decreased,distended large intestine,-inf_to_49.5,All,,All,lived,yes
yes,adult,All,58.0_to_inf,All,cool,,,<3,,absent,slight,slight,none,All,decreased,distended small intestine,-inf_to_49.5,All,,All,died,yes
no,adult,All,58.0_to_inf,All,cool,absent,pale pink,<3,intermittent severe pain,absent,severe,slight,none,All,decreased,distended large intestine,-inf_to_49.5,All,,All,euthanized,yes
no,young,All,58.0_to_inf,All,normal,,normal pink,<3,continuous severe pain,hypomotile,none,slight,none,All,decreased,,-inf_to_49.5,All,clear,All,lived,no
no,adult,All,58.0_to_inf,All,warm,,bright pink,<3,depressed,hypermotile,slight,none,none,All,absent,distended small intestine,49.5_to_inf,All,,All,lived,yes
yes,adult,All,-inf_to_58.0,All,warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,significant,none,All,absent,distended large intestine,-inf_to_49.5,All,,All,lived,no
no,young,All,58.0_to_inf,All,normal,normal,bright pink,<3,alert no pain,hypomotile,slight,significant,,All,normal,normal,-inf_to_49.5,All,clear,All,died,no
yes,adult,All,58.0_to_inf,All,cool,normal,normal pink,<3,intermittent mild pain,absent,none,slight,>1l,All,absent,distended small intestine,-inf_to_49.5,All,clear,All,lived,yes
yes,adult,All,58.0_to_inf,All,cool,normal,pale cyanotic,<3,continuous severe pain,hypomotile,moderate,slight,<1l,All,absent,,-inf_to_49.5,All,,All,died,yes
